Approved symbol	Previous symbols	Alias symbols	Locus group	Ensembl gene ID
NT5DC3		TU12B1-TY, FLJ11266	protein-coding gene	ENSG00000111696
NT5DC4			protein-coding gene	ENSG00000144130
NT5E	NT5	CD73, eN, eNT, CALJA	protein-coding gene	ENSG00000135318
NT5M		dNT-2, dNT2, mdN	protein-coding gene	ENSG00000205309
NTAN1			protein-coding gene	ENSG00000157045
NTAN1P1			pseudogene	ENSG00000270965
NTAN1P2			pseudogene	ENSG00000250569
NTAN1P3			pseudogene	ENSG00000256355
NTAQ1	C8orf32, WDYHV1	FLJ10204	protein-coding gene	ENSG00000156795
NTF3		NGF2	protein-coding gene	ENSG00000185652
NTF4	NTF5	NT-4/5, GLC1O	protein-coding gene	ENSG00000225950
NTF6A	NTF6	PSI-NT4, NTF5P	pseudogene	ENSG00000267019
NTF6B			pseudogene	ENSG00000267685
NTF6G			pseudogene	ENSG00000267099
NTHL1		NTH1, OCTS3	protein-coding gene	ENSG00000065057
NTM		HNT, NTRI, IGLON2, CEPU-1	protein-coding gene	ENSG00000182667
NTM-AS1	C11orf39	FLJ45436	non-coding RNA	ENSG00000224795
NTM-IT	NTM-IT3		non-coding RNA	ENSG00000238262
NTM-IT1			non-coding RNA	
NTM-IT2			non-coding RNA	
NTMT1	C9orf32, METTL11A	AD-003, HOMT1A, NRMT1, NRMT	protein-coding gene	ENSG00000148335
NTN1		NTN1L	protein-coding gene	ENSG00000065320
NTN3	NTN2L		protein-coding gene	ENSG00000162068
NTN4			protein-coding gene	ENSG00000074527
NTN5			protein-coding gene	ENSG00000142233
NTNG1		KIAA0976, Lmnt1	protein-coding gene	ENSG00000162631
NTNG2	NTNG1	KIAA1857, Lmnt2	protein-coding gene	ENSG00000196358
NTPCR	C1orf57	MGC13186, HCR-NTPase, THEP1	protein-coding gene	ENSG00000135778
NTRK1		TRK, TRKA, MTC	protein-coding gene	ENSG00000198400
NTRK2		TRKB	protein-coding gene	ENSG00000148053
NTRK3		TRKC	protein-coding gene	ENSG00000140538
NTRK3-AS1			non-coding RNA	ENSG00000260305
NTRK4			other	
NTRKR1			other	
NTRKR2			other	
NTRKR3			other	
NTS			protein-coding gene	ENSG00000133636
NTSR1		NTR	protein-coding gene	ENSG00000101188
NTSR2		NTR2	protein-coding gene	ENSG00000169006
NUAK1		ARK5, KIAA0537	protein-coding gene	ENSG00000074590
NUAK2		SNARK, FLJ90349	protein-coding gene	ENSG00000163545
NUB1		BS4, NYREN18, NUB1L	protein-coding gene	ENSG00000013374
NUBP1	NBP1	NBP35, CIAO5	protein-coding gene	ENSG00000103274
NUBP2		CFD1, CIAO6	protein-coding gene	ENSG00000095906
NUBPL	C14orf127	FLJ12660, IND1, huInd1	protein-coding gene	ENSG00000151413
NUCB1		NUC, Calnuc	protein-coding gene	ENSG00000104805
NUCB1-AS1			non-coding RNA	ENSG00000235191
NUCB2		NEFA	protein-coding gene	ENSG00000070081
NUCKS1		NUCKS	protein-coding gene	ENSG00000069275
NUCKS1P1			pseudogene	ENSG00000232864
NUDC			protein-coding gene	ENSG00000090273
NUDCD1		CML66, FLJ14991	protein-coding gene	ENSG00000120526
NUDCD2		DKFZp686E10109, NudCL2	protein-coding gene	ENSG00000170584
NUDCD3		KIAA1068, NudCL	protein-coding gene	ENSG00000015676
NUDCP1			pseudogene	ENSG00000213197
NUDCP2			pseudogene	ENSG00000238082
NUDT1	MTH1		protein-coding gene	ENSG00000106268
NUDT2	APAH1		protein-coding gene	ENSG00000164978
NUDT3		DIPP	protein-coding gene	ENSG00000272325
NUDT4		DIPP2, HDCMB47P, KIAA0487, DIPP2alpha, DIPP2beta	protein-coding gene	ENSG00000173598
NUDT4B	NUDT4P1		protein-coding gene	ENSG00000177144
NUDT4P2			pseudogene	ENSG00000271121
NUDT5		hYSAH1, YSA1H	protein-coding gene	ENSG00000165609
NUDT6		gfg-1, gfg, FGF2AS, FGF-AS	protein-coding gene	ENSG00000170917
NUDT7			protein-coding gene	ENSG00000140876
NUDT8		FLJ41567	protein-coding gene	ENSG00000167799
NUDT9		MGC3037	protein-coding gene	ENSG00000170502
NUDT9P1	C10orf98	MGC34007, bA56M3.1	pseudogene	ENSG00000234043
NUDT10		DIPP3a, hDIPP3alpha	protein-coding gene	ENSG00000122824
NUDT11		DIPP3b, FLJ10628, hDIPP3beta	protein-coding gene	ENSG00000196368
NUDT12		DKFZP761I172	protein-coding gene	ENSG00000112874
NUDT13		DKFZp586P2219	protein-coding gene	ENSG00000166321
NUDT14		UGPP	protein-coding gene	ENSG00000183828
NUDT15		MTH2, FLJ10956	protein-coding gene	ENSG00000136159
NUDT15P1			pseudogene	
NUDT15P2			pseudogene	
NUDT16		FLJ31265	protein-coding gene	ENSG00000198585
NUDT16L1		SDOS, TIRR	protein-coding gene	ENSG00000168101
NUDT16P1	NUDT16P	FLJ20525	pseudogene	ENSG00000246082
NUDT17		FLJ34433	protein-coding gene	ENSG00000186364
NUDT18		FLJ22494, MTH3	protein-coding gene	ENSG00000275074
NUDT19		RP2	protein-coding gene	ENSG00000213965
NUDT19P1			pseudogene	
NUDT19P2			pseudogene	ENSG00000224632
NUDT19P3			pseudogene	ENSG00000216723
NUDT19P4			pseudogene	ENSG00000270900
NUDT19P5			pseudogene	ENSG00000251073
NUDT19P6			pseudogene	ENSG00000270625
NUDT21	CPSF5	CFIM25	protein-coding gene	ENSG00000167005
NUDT21P1			pseudogene	
NUDT22		MGC13045	protein-coding gene	ENSG00000149761
NUF2	CDCA1	NUF2R, CT106	protein-coding gene	ENSG00000143228
NUFIP1		NUFIP, Rsa1	protein-coding gene	ENSG00000083635
NUFIP1P1	NUFIP1P		pseudogene	ENSG00000218890
NUFIP2		KIAA1321, MGC117262, PIG1, 182-FIP, FIP-82, 82-FIP	protein-coding gene	ENSG00000108256
NUGGC	C8orf80	HMFN0672, SLIP-GC	protein-coding gene	ENSG00000189233
NUMA1			protein-coding gene	ENSG00000137497
NUMB	C14orf41		protein-coding gene	ENSG00000133961
NUMBL		NUMB-R, CTG3a, CAG3A, TNRC23, NUMBR, NUMBLIKE	protein-coding gene	ENSG00000105245
NUP35		MP44	protein-coding gene	ENSG00000163002
NUP35P1			pseudogene	ENSG00000223928
NUP35P2			pseudogene	ENSG00000226285
NUP37		MGC5585, FLJ22618	protein-coding gene	ENSG00000075188
NUP42	NUPL2	NLP_1, CG1, hCG1, H_RG271G13.9	protein-coding gene	ENSG00000136243
NUP43		bA350J20.1, FLJ13287	protein-coding gene	ENSG00000120253
NUP50	NPAP60L		protein-coding gene	ENSG00000093000
NUP50-DT	NUP50-AS1		non-coding RNA	ENSG00000226328
NUP50P1	NUP50P		pseudogene	ENSG00000259010
NUP50P2			pseudogene	
NUP50P3			pseudogene	
NUP54			protein-coding gene	ENSG00000138750
NUP58	NUPL1	KIAA0410, NUP45	protein-coding gene	ENSG00000139496
NUP58P1	NUPL1P1		pseudogene	ENSG00000251436
NUP62		p62, DKFZp547L134, IBSN, SNDI, MGC841, FLJ20822, FLJ43869	protein-coding gene	ENSG00000213024
NUP62CL		FLJ20130	protein-coding gene	ENSG00000198088
NUP85		NUP75, FLJ12549	protein-coding gene	ENSG00000125450
NUP88		MGC8530	protein-coding gene	ENSG00000108559
NUP93		KIAA0095	protein-coding gene	ENSG00000102900
NUP98		NUP96, Nup98-Nup96, Nup98-96	protein-coding gene	ENSG00000110713
NUP107		NUP84	protein-coding gene	ENSG00000111581
NUP133		FLJ10814	protein-coding gene	ENSG00000069248
NUP153		HNUP153	protein-coding gene	ENSG00000124789
NUP155		KIAA0791, N155	protein-coding gene	ENSG00000113569
NUP160		KIAA0197, FLJ22583	protein-coding gene	ENSG00000030066
NUP188	KIAA0169		protein-coding gene	ENSG00000095319
NUP205	C7orf14	KIAA0225	protein-coding gene	ENSG00000155561
NUP210		GP210, POM210, FLJ22389, KIAA0906	protein-coding gene	ENSG00000132182
NUP210L			protein-coding gene	ENSG00000143552
NUP210P1	C3orf46		pseudogene	ENSG00000198284
NUP210P2			pseudogene	ENSG00000225275
NUP210P3			pseudogene	ENSG00000248916
NUP214		CAIN, CAN, D9S46E, N214	protein-coding gene	ENSG00000126883
NUPR1		COM1, p8	protein-coding gene	ENSG00000176046
NUPR2	NUPR1L		protein-coding gene	ENSG00000185290
NURR1			other	
NUS1	C6orf68	MGC7199, NgBR, TANGO14	protein-coding gene	ENSG00000153989
NUS1P1			pseudogene	ENSG00000235636
NUS1P2			pseudogene	ENSG00000234685
NUS1P3		YDD19	pseudogene	ENSG00000234627
NUS1P4			pseudogene	ENSG00000217686
NUSAP1		FLJ13421, LNP, ANKT, SAPL, BM037, PRO0310p1, Q0310	protein-coding gene	ENSG00000137804
NUTF2		NTF2, PP15	protein-coding gene	ENSG00000102898
NUTF2P2			pseudogene	ENSG00000258300
NUTF2P3			pseudogene	ENSG00000228248
NUTF2P4			pseudogene	ENSG00000234790
NUTF2P5			pseudogene	ENSG00000215227
NUTF2P6			pseudogene	ENSG00000259710
NUTF2P7			pseudogene	ENSG00000229324
NUTF2P8			pseudogene	ENSG00000270654
NUTM1	C15orf55	NUT, DKFZp434O192, FAM22H	protein-coding gene	ENSG00000184507
NUTM2A	FAM22A		protein-coding gene	ENSG00000184923
NUTM2A-AS1	FAM22A-AS1		non-coding RNA	ENSG00000223482
NUTM2B	FAM22B	bA119F19.1	protein-coding gene	ENSG00000188199
NUTM2B-AS1			non-coding RNA	ENSG00000225484
NUTM2D	FAM22D		protein-coding gene	ENSG00000214562
NUTM2E	FAM22E		protein-coding gene	ENSG00000228570
NUTM2F	FAM22F	DKFZp434I1117	protein-coding gene	ENSG00000130950
NUTM2G	FAM22G		protein-coding gene	ENSG00000188152
NUTM2HP	FAM22HP		pseudogene	ENSG00000232706
NVL		NVL2	protein-coding gene	ENSG00000143748
NWD1			protein-coding gene	ENSG00000188039
NWD2	KIAA1239		protein-coding gene	ENSG00000174145
NXF1		TAP, Mex67, DKFZp667O0311	protein-coding gene	ENSG00000162231
NXF2		CT39, TAPL-2	protein-coding gene	ENSG00000269405
NXF2B		bA353J17.1	protein-coding gene	ENSG00000269437
NXF3			protein-coding gene	ENSG00000147206
NXF4			pseudogene	ENSG00000196970
NXF5			protein-coding gene	ENSG00000126952
NXN		FLJ12614, NRX	protein-coding gene	ENSG00000167693
NXNL1	TXNL6	RDCVF	protein-coding gene	ENSG00000171773
NXNL2	C9orf121	RdCVF2	protein-coding gene	ENSG00000130045
NXNP1			pseudogene	ENSG00000226693
NXPE1	FAM55A	MGC34290	protein-coding gene	ENSG00000095110
NXPE2	FAM55B	FLJ25224	protein-coding gene	ENSG00000204361
NXPE2P1			pseudogene	ENSG00000255982
NXPE3	FAM55C	MGC15606	protein-coding gene	ENSG00000144815
NXPE4	C11orf33, FAM55D	FLJ20127	protein-coding gene	ENSG00000137634
NXPH1			protein-coding gene	ENSG00000122584
NXPH2		NPH2	protein-coding gene	ENSG00000144227
NXPH3		NPH3	protein-coding gene	ENSG00000182575
NXPH4		NPH4	protein-coding gene	ENSG00000182379
NXT1		P15, MTR2	protein-coding gene	ENSG00000132661
NXT1-AS1			non-coding RNA	ENSG00000234832
NXT1P1			pseudogene	ENSG00000214823
NXT2		P15-2	protein-coding gene	ENSG00000101888
NYAP1	C7orf51, KIAA1486L	FLJ37538	protein-coding gene	ENSG00000166924
NYAP2	KIAA1486		protein-coding gene	ENSG00000144460
NYNRIN	KIAA1305	FLJ11811, CGIN1	protein-coding gene	ENSG00000205978
NYS2		NYSA	phenotype	
NYS3		CN	phenotype	
NYS4			phenotype	
NYX	CSNB1, CSNB4	CLRP, CSNB1A	protein-coding gene	ENSG00000188937
OA1			phenotype	
OA3			phenotype	
OACYLP		ACYL3P	pseudogene	ENSG00000224367
OAF		MGC52117	protein-coding gene	ENSG00000184232
OAP			phenotype	
OARD1	C6orf130	MGC19570, dJ34B21.3, TARG1	protein-coding gene	ENSG00000124596
OAS1	OIAS	OIASI, IFI-4	protein-coding gene	ENSG00000089127
OAS2			protein-coding gene	ENSG00000111335
OAS3			protein-coding gene	ENSG00000111331
OASD			phenotype	
OASL		TRIP14, p59OASL, OASL1	protein-coding gene	ENSG00000135114
OASL2P			pseudogene	ENSG00000283542
OAT		HOGA	protein-coding gene	ENSG00000065154
OATP1	OATL3		pseudogene	
OAZ1	OAZ	AZI, MGC138338, AZ1	protein-coding gene	ENSG00000104904
OAZ1P1			pseudogene	ENSG00000226745
OAZ2			protein-coding gene	ENSG00000180304
OAZ3			protein-coding gene	ENSG00000143450
OB			other	
OBI1	C13orf7, RNF219	FLJ13449	protein-coding gene	ENSG00000152193
OBI1-AS1	POU4F1-AS1, RNF219-AS1		non-coding RNA	ENSG00000234377
OBP2A		hOBPIIa, OBP, LCN13	protein-coding gene	ENSG00000122136
OBP2B		hOBPIIb, LCN14	protein-coding gene	ENSG00000171102
OBS			other	
OBSCN		KIAA1556, UNC89, KIAA1639, ARHGEF30	protein-coding gene	ENSG00000154358
OBSCN-AS1	C1orf145	FLJ31994	non-coding RNA	ENSG00000162913
OBSCN-IT1			non-coding RNA	
OBSCN-IT2			non-coding RNA	
OBSL1		KIAA0657	protein-coding gene	ENSG00000124006
OC90	PLA2L		protein-coding gene	ENSG00000253117
OCA2	D15S12, P, EYCL3, EYCL2	BEY2, EYCL, BEY, BEY1	protein-coding gene	ENSG00000104044
OCA5			phenotype	
OCD1			phenotype	
OCEL1		FLJ22709	protein-coding gene	ENSG00000099330
OCIAD1		FLJ20455, TPA018, OCIA, Asrij	protein-coding gene	ENSG00000109180
OCIAD1-AS1			non-coding RNA	ENSG00000248256
OCIAD2		MGC45416	protein-coding gene	ENSG00000145247
OCIAD2P1			pseudogene	
OCLM			protein-coding gene	
OCLN		PPP1R115	protein-coding gene	ENSG00000197822
OCLNP1			pseudogene	ENSG00000230847
OCM		OCM1	protein-coding gene	ENSG00000122543
OCM2			protein-coding gene	ENSG00000135175
OCP1			other	
OCP2			other	
OCRL		OCRL1, Dent-2	protein-coding gene	ENSG00000122126
OCSTAMP	C20orf123	dJ257E24.3	protein-coding gene	ENSG00000149635
ODAM		APin, FLJ20513	protein-coding gene	ENSG00000109205
ODAPH	C4orf26	FLJ23657, AI2A4	protein-coding gene	ENSG00000174792
ODC1		ODC	protein-coding gene	ENSG00000115758
ODC1-DT		lncRNA-MIF	non-coding RNA	ENSG00000257135
ODCP	ODC2		pseudogene	ENSG00000244556
ODDD		ODD, ODOD, SDTY3	phenotype	
ODF1		ODFPG, ODF27, RT7, HSPB10, CT133	protein-coding gene	ENSG00000155087
ODF2		ODF84, CT134	protein-coding gene	ENSG00000136811
ODF2-AS1			non-coding RNA	ENSG00000225951
ODF2L		KIAA1229	protein-coding gene	ENSG00000122417
ODF3		SHIPPO1, hSHIPPO, CT135	protein-coding gene	ENSG00000177947
ODF3B		FAP123	protein-coding gene	ENSG00000177989
ODF3L1		MGC48986	protein-coding gene	ENSG00000182950
ODF3L2	C19orf19	FLJ40059	protein-coding gene	ENSG00000181781
ODF4		OPPO1, CT136	protein-coding gene	ENSG00000184650
ODG1			other	
ODR4	C1orf27	FLJ20505, odr-4, TTG1	protein-coding gene	ENSG00000157181
ODT1			phenotype	
OED			phenotype	
OFC#			other	
OFC1	OFC		phenotype	
OFC2			phenotype	
OFC3			phenotype	
OFCC1		MRDS1, Opo	other	ENSG00000181355
OFD1	CXorf5, RP23	71-7A, JBTS10	protein-coding gene	ENSG00000046651
OFD1P1Y	OFDYP1, OFD1P1		pseudogene	ENSG00000226011
OFD1P2Y	OFDYP2, OFD1P2, OFD1PY2		pseudogene	ENSG00000226611
OFD1P3Y	OFDYP3, OFD1P3, OFD1PY3, OFD1P19Y, OFD1P19, OFD1PY19		pseudogene	ENSG00000231988
OFD1P4Y	OFDYP4, OFD1P4, OFD1PY4		pseudogene	ENSG00000229406
OFD1P5Y	OFDYP5, OFD1P5, OFD1PY5		pseudogene	ENSG00000240438
OFD1P6Y	OFD1P2, OFDYP6, OFD1P6, OFD1PY6		pseudogene	ENSG00000242153
OFD1P7Y	OFDYP7, OFD1P7, OFD1PY7		pseudogene	ENSG00000238088
OFD1P8Y	OFDYP8, OFD1P8, OFD1PY8		pseudogene	ENSG00000231159
OFD1P9Y	OFDYP9, OFD1P9, OFD1PY9		pseudogene	ENSG00000230476
OFD1P10Y	OFDYP10, OFD1P10, OFD1PY10		pseudogene	ENSG00000225466
OFD1P11Y	OFDYP11, OFD1P11, OFD1PY11		pseudogene	ENSG00000237302
OFD1P12Y	OFDYP12, OFD1P12, OFD1PY12		pseudogene	ENSG00000232585
OFD1P13Y	OFDYP13, OFD1P13, OFD1PY13		pseudogene	ENSG00000225287
OFD1P14Y	OFDYP14, OFD1P14, OFD1PY14		pseudogene	
OFD1P15Y	OFDYP15, OFD1P15, OFD1PY15		pseudogene	ENSG00000234888
OFD1P16Y	OFDYP16, OFD1P16, OFD1PY16		pseudogene	ENSG00000277519
OFD1P17	C5orf1, OFD1P1	71-7A3, 71-7A5	pseudogene	ENSG00000228212
OFD1P18Y	CYorf1, OFD1P18, OFD1PY18	71-7A2	pseudogene	ENSG00000235511
OFD1P19Y	OFD1P19, OFD1PY19		pseudogene	
OGA	MGEA5	MEA5, NCOAT	protein-coding gene	ENSG00000198408
OGDH		E1k, OGDC-E1, OGDH2, KGD1	protein-coding gene	ENSG00000105953
OGDHL		FLJ10851	protein-coding gene	ENSG00000197444
OGFOD1		KIAA1612, FLJ10826, TPA1	protein-coding gene	ENSG00000087263
OGFOD1P1			pseudogene	ENSG00000231665
OGFOD2		FLJ13491, FLJ37501	protein-coding gene	ENSG00000111325
OGFOD3	C17orf101	FLJ22222	protein-coding gene	ENSG00000181396
OGFR		7-60	protein-coding gene	ENSG00000060491
OGFR-AS1			non-coding RNA	ENSG00000229873
OGFRL1		dJ331H24.1	protein-coding gene	ENSG00000119900
OGFRP1			pseudogene	ENSG00000182057
OGG1		HMMH, HOGG1, OGH1, MUTM	protein-coding gene	ENSG00000114026
OGN		mimecan, OIF, SLRR3A	protein-coding gene	ENSG00000106809
OGT		O-GLCNAC, HRNT1, MGC22921, FLJ23071, OGT1	protein-coding gene	ENSG00000147162
OI4			other	
OIAS			other	
OIP5		MIS18B, hMIS18beta, CT86	protein-coding gene	ENSG00000104147
OIP5-AS1		cyrano, linc-OIP5	non-coding RNA	ENSG00000247556
OIT3		LZP, FLJ39116	protein-coding gene	ENSG00000138315
OK			other	
OLA1	GTPBP9	PTD004	protein-coding gene	ENSG00000138430
OLA1P1			pseudogene	ENSG00000213790
OLA1P2			pseudogene	ENSG00000213671
OLA1P3			pseudogene	ENSG00000257966
OLAH	THEDC1	FLJ11106, SAST	protein-coding gene	ENSG00000152463
OLFM1		NOE1, OlfA, AMY, NOELIN	protein-coding gene	ENSG00000130558
OLFM2		OlfC, NOE2	protein-coding gene	ENSG00000105088
OLFM3		NOE3	protein-coding gene	ENSG00000118733
OLFM4		OlfD, GW112, GC1	protein-coding gene	ENSG00000102837
OLFM5P			pseudogene	ENSG00000224295
OLFML1		UNQ564	protein-coding gene	ENSG00000183801
OLFML2A		FLJ00237	protein-coding gene	ENSG00000185585
OLFML2B		DKFZP586L151	protein-coding gene	ENSG00000162745
OLFML3		HNOEL-iso, OLF44	protein-coding gene	ENSG00000116774
OLFR@		OLFR@A	other	
OLFR1			other	
OLIG1		BHLHB6, bHLHe21	protein-coding gene	ENSG00000184221
OLIG2	PRKCBP2, BHLHB1	RACK17, OLIGO2, bHLHe19	protein-coding gene	ENSG00000205927
OLIG3		Bhlhb7, bHLHe20	protein-coding gene	ENSG00000177468
OLMALINC	C10orf75, NCRNA00263, LINC00263	bA34D15.5, FLJ12974, HI-LNC80	non-coding RNA	ENSG00000235823
OLR1		LOX-1, SCARE1, CLEC8A	protein-coding gene	ENSG00000173391
OMA1		MPRP-1, YKR087C, ZMPOMA1, FLJ33782	protein-coding gene	ENSG00000162600
OMD		osteoadherin, SLRR2C	protein-coding gene	ENSG00000127083
OMG		OMGP	protein-coding gene	ENSG00000126861
OMP			protein-coding gene	ENSG00000254550
ON			other	
ONECUT1	HNF6, HNF6A	HNF-6	protein-coding gene	ENSG00000169856
ONECUT2		OC-2	protein-coding gene	ENSG00000119547
ONECUT3			protein-coding gene	ENSG00000205922
OOEP	C6orf156	Em:AC019205.2, KHDC2	protein-coding gene	ENSG00000203907
OOEP-AS1	OOEP-AS		non-coding RNA	ENSG00000231332
OOEPP1			pseudogene	ENSG00000270759
OOEPP2			pseudogene	ENSG00000256192
OOSP1			other	ENSG00000284873
OOSP1P1			pseudogene	ENSG00000238037
OOSP1P2			pseudogene	ENSG00000263749
OOSP2	TMEM122, PLAC1L	FLJ36198, OOSP2A	protein-coding gene	ENSG00000149507
OOSP3			protein-coding gene	ENSG00000285231
OOSP4A			protein-coding gene	ENSG00000285010
OOSP4B			protein-coding gene	ENSG00000255393
OPA1		NTG, KIAA0567, FLJ12460, NPG, MGM1	protein-coding gene	ENSG00000198836
OPA1-AS1			non-coding RNA	ENSG00000224855
OPA2			phenotype	
OPA3		FLJ22187, MGA3	protein-coding gene	ENSG00000125741
OPA4			phenotype	
OPA5			phenotype	
OPA6		ROA1	phenotype	
OPA7			phenotype	
OPA8			phenotype	
OPALIN	TMEM10	TMP10, HTMP10	protein-coding gene	ENSG00000197430
OPCML		OPCM, OBCAM, IGLON1	protein-coding gene	ENSG00000183715
OPCML-IT1			non-coding RNA	ENSG00000254896
OPCML-IT2			non-coding RNA	ENSG00000255371
OPD1	OPD		phenotype	
OPD2			phenotype	
OPEM			phenotype	
OPG			other	
OPHN1	MRX60	OPN1, ARHGAP41	protein-coding gene	ENSG00000079482
OPLAH		OPLA, 5-Opase	protein-coding gene	ENSG00000178814
OPMD			other	
OPN			other	
OPN1LW	CBBM, RCP, CBP	COD5	protein-coding gene	ENSG00000102076
OPN1MW	GCP, CBBM, CBD	OPN1MW1, COD5	protein-coding gene	ENSG00000268221
OPN1MW2			protein-coding gene	ENSG00000166160
OPN1MW3			protein-coding gene	ENSG00000269433
OPN1SW	BCP	BOP, CBT	protein-coding gene	ENSG00000128617
OPN3	ECPN	ERO, NMO-1, encephalopsin, PPP1R116	protein-coding gene	ENSG00000054277
OPN4		MOP, melanopsin	protein-coding gene	ENSG00000122375
OPN5	TMEM13	neuropsin, dJ402H5.1	protein-coding gene	ENSG00000124818
OPPG		OPS	other	
OPRD1			protein-coding gene	ENSG00000116329
OPRK1		KOR, OPRK	protein-coding gene	ENSG00000082556
OPRL1		NOCIR, ORL1, OOR, KOR-3, NOPr	protein-coding gene	ENSG00000125510
OPRM1		MOR1	protein-coding gene	ENSG00000112038
OPRPN	PROL1	BPLP, PRL1	protein-coding gene	ENSG00000171199
OPTC			protein-coding gene	ENSG00000188770
OPTN	GLC1E	FIP2, HYPL, FIP-2, TFIIIA-INTP, NRP, HIP7	protein-coding gene	ENSG00000123240
OPTX2			other	
OR1A1		OR17-7	protein-coding gene	ENSG00000172146
OR1A2		OR17-6	protein-coding gene	ENSG00000172150
OR1AA1P			pseudogene	ENSG00000234288
OR1AB1P			pseudogene	ENSG00000267450
OR1AC1P			pseudogene	ENSG00000267129
OR1B1		OR9-B	protein-coding gene	ENSG00000280094
OR1C1		TPCR27, HSTPCR27	protein-coding gene	ENSG00000221888
OR1D2	OLFR1	OR17-4	protein-coding gene	ENSG00000184166
OR1D3P	OR1D6P, OR1D7P	OR17-23, OR11-13, OR11-22	pseudogene	ENSG00000262106
OR1D4		OR17-30	protein-coding gene	ENSG00000255095
OR1D5		OR17-31	protein-coding gene	ENSG00000262628
OR1D6P	OR1D7P	OR11-22, OR11-13, OR11-22, OR1D7P	pseudogene	
OR1D7P		OR11-13	pseudogene	
OR1E1	OR1E9P, OR1E5, OR1E6	OR17-2, HGM071, OR17-32, OR13-66	protein-coding gene	ENSG00000180016
OR1E2	OR1E4	OR17-93, OR17-135	protein-coding gene	ENSG00000127780
OR1E3	OR1E3P	OR17-210	protein-coding gene	ENSG00000142163
OR1E4		OR17-135	other	
OR1E5		OR13-66	other	
OR1E6			other	
OR1E7			other	
OR1E8P			other	
OR1E9P			pseudogene	
OR1F1	OR1F4, OR1F6, OR1F7, OR1F8, OR1F9, OR1F5, OR1F10, OR1F13P	Olfmf, OR16-36, OR16-37, OR16-88, OR16-89, OR16-90, OLFMF, OR3-145	protein-coding gene	ENSG00000168124
OR1F2P	OR1F3P, OR1F2	OLFMF2	pseudogene	ENSG00000203581
OR1F3P			other	
OR1F4		OR16-90	other	
OR1F5			other	
OR1F6		OR16-89	other	
OR1F7		OR16-37	other	
OR1F8		OR16-88	other	
OR1F9		OR16-36	other	
OR1F10		OR3-145	other	
OR1F11			other	
OR1F12	OR1F12P	hs6M1-35P, OR1F12Q	other	ENSG00000220721
OR1F13P			pseudogene	
OR1G1	OR1G2	OR17-209	protein-coding gene	ENSG00000183024
OR1G2		OR17-130	other	
OR1H1P	OR1H1	OST26	pseudogene	ENSG00000228914
OR1I1		OR1I1P, OR19-20, OR1I1Q	protein-coding gene	ENSG00000094661
OR1J1		hg32	protein-coding gene	ENSG00000136834
OR1J2	OR1J3, OR1J5	OST044	protein-coding gene	ENSG00000197233
OR1J3		hg152	other	
OR1J4		HTPCRX01, HSHTPCRX01	protein-coding gene	ENSG00000239590
OR1J5			other	
OR1K1		hg99, MNAB	protein-coding gene	ENSG00000165204
OR1L1	OR1L2	OR9-C	protein-coding gene	ENSG00000173679
OR1L2		hg23	other	
OR1L3		OR9-D	protein-coding gene	ENSG00000171481
OR1L4	OR1L5	OR9-E	protein-coding gene	ENSG00000136939
OR1L5		OST046	other	
OR1L6	OR1L7		protein-coding gene	ENSG00000171459
OR1L7		hg16	other	
OR1L8			protein-coding gene	ENSG00000171496
OR1M1		OR19-6	protein-coding gene	ENSG00000170929
OR1M4P			pseudogene	ENSG00000267154
OR1N1	OR1N3	OR1-26	protein-coding gene	ENSG00000171505
OR1N2			protein-coding gene	ENSG00000171501
OR1N3			other	
OR1P1	OR1P1P	OR17-208	protein-coding gene	ENSG00000262085
OR1Q1	OR1Q2, OR1Q3	OST226, OR9-A, HSTPCR106, OST226OR9-A, TPCR106	protein-coding gene	ENSG00000165202
OR1Q2		OR9-A	other	
OR1Q3		TPCR106	other	
OR1R1P	OR20A1P, OR1R2P, OR1R3P	OR17-1	pseudogene	ENSG00000180042
OR1R2P			pseudogene	
OR1R3P			pseudogene	
OR1S1		OST034	protein-coding gene	ENSG00000280204
OR1S2			protein-coding gene	ENSG00000197887
OR1X1P			pseudogene	ENSG00000272494
OR1X5P			pseudogene	ENSG00000214351
OR2A1			protein-coding gene	ENSG00000221970
OR2A1-AS1			non-coding RNA	ENSG00000244479
OR2A2	OR2A2P, OR2A17P	OST008	protein-coding gene	ENSG00000221989
OR2A3P			pseudogene	ENSG00000183122
OR2A4	OR2A10		protein-coding gene	ENSG00000180658
OR2A5	OR2A8, OR2A26	OR7-138, OR7-141	protein-coding gene	ENSG00000221836
OR2A6		OST182	other	
OR2A7		HSDJ0798C17	protein-coding gene	ENSG00000243896
OR2A8		OR7-141	other	
OR2A9P	OR2A9	HSDJ0798C17	pseudogene	ENSG00000228960
OR2A10			other	
OR2A11P			other	
OR2A12	OR2A12P		protein-coding gene	ENSG00000221858
OR2A13P			pseudogene	ENSG00000273234
OR2A14	OR2A14P, OR2A6	OST182	protein-coding gene	ENSG00000221938
OR2A15P	OR2A28P		pseudogene	ENSG00000239981
OR2A16P			other	
OR2A17P			pseudogene	
OR2A18P			other	
OR2A19			other	
OR2A20P	OR2A20		pseudogene	ENSG00000170356
OR2A21			other	
OR2A22P			other	
OR2A23P			other	
OR2A24P			other	
OR2A25	OR2A25P, OR2A27		protein-coding gene	ENSG00000221933
